make,mileage,price,body_type,drivetrain,transmission,fuel_type,passengers,is_private,car_age
HONDA,88345.0,9.04899722156742,SEDAN,FWD,CVT,Gas,5.0,0,7
HONDA,59823.0,10.305446521315003,SUV,AWD,CVT,Gas,5.0,0,3
FIAT,2097.0,10.225534819164793,CONVERTIBLE,RWD,Automatic,Premium Unleaded,4.0,0,5
MAZDA,2.0,10.510232261594956,SUV,AWD,Automatic,Regular Unleaded,5.0,0,1
KIA,112345.0,8.354674261918463,SEDAN,FWD,Automatic,Gas,5.0,1,12
FORD,57293.0,9.96988372217581,SUV,FWD,Automatic,Gas,5.0,0,5
GMC,52090.0,10.819678279409947,TRUCK,AWD,Automatic,Gas,5.0,0,3
HONDA,43512.0,9.99857043378282,SEDAN,FWD,CVT,Regular Unleaded,5.0,0,3
VOLKSWAGEN,44857.0,10.165659490817816,CONVERTIBLE,FWD,Automatic,Premium Unleaded,4.0,0,7
TOYOTA,49879.0,9.797460147890598,SEDAN,FWD,Automatic,Gas,5.0,0,6
HONDA,99352.0,10.214202324098482,SUV,AWD,Automatic,Gas,7.0,0,6
NISSAN,87671.0,9.47262771040802,SEDAN,FWD,CVT,Gas,5.0,0,4
BMW,100022.0,10.042814617757228,SEDAN,AWD,Automatic,Gas,5.0,0,8
HONDA,104763.0,9.755567422459508,SUV,AWD,Automatic,Gas,5.0,0,6
MERCEDES-BENZ,72758.0,10.687389096364535,SUV,AWD,Automatic,Gas,5.0,0,4
VOLKSWAGEN,120333.0,9.392578591964387,SEDAN,FWD,Automatic,Diesel,5.0,0,8
GMC,71156.0,9.72913416539135,SUV,FWD,Automatic,Gas,5.0,0,7
HONDA,8.0,11.349088019553426,HATCHBACK,FWD,Manual,Gas,5.0,1,1
HONDA,61463.0,10.203518068168773,SUV,AWD,CVT,Gas,5.0,0,6
ALFA ROMEO,37481.0,9.735068900911164,CONVERTIBLE,RWD,Manual,Gas,4.0,1,33
